"recipeId","steps","recipeName","ingredientInfo"
1,"Combine first 9 ingredients in heavy medium saucepan. Add 3 shallots. Bring to simmer. Remove from heat\, cover and let stand 30 minutes. Chill overnight.\,  Preheat oven to 325F. Line 7cup pt or bread pan with plastic wrap. Melt butter in heavy small skillet over low heat. Add remaining 5 shallots. Cover and cook until very soft\, stirring occasionally\, about 15 minutes. Transfer to processor. Add pork\, eggs\, flour and Port and puree. Strain cream mixture\, pressing on solids to extract as much liquid as possible. With processor running\, add cream through feed tube and process just until combined with pork. Transfer to large bowl. Mix in currants.\,  Spoon mixture into prepared pan. Cover with foil. Place pan in large pan. Add boiling water to larger pan to within 12 inch of top of terrine. Bake until terrine begins to shrink from sides of pan and knife inserted into center comes out clean\, about 1 12 hours. Uncover and cool on rack. Chill until cold. Can be made 3 days ahead. Cover and chill.\,  Line platter with lettuce. Arrange terrine atop. Sprinkle with pepper and parsley. Garnish with bay leaves. Spoon confit around sides. Serve with bread.\,  Heat oil in heavy large skillet over mediumhigh heat. Add onions and saut until crisptender\, about 8 minutes. Add all remaining ingredients and stir until reduced to thick glaze\, about 4 minutes. Season with salt and pepper. Can be prepared 2 days ahead. Cover and chill. Serve warm or at room temperature.","Boudin Blanc Terrine with Red Onion Confit ","  1 1/2 cups whipping cream\,  2 medium onions\, chopped\,  5 teaspoons salt\,  3 bay leaves\,  3 whole cloves\,  1 large garlic clove\, crushed\,  1 teaspoon pepper\,  1/8 teaspoon ground nutmeg\,  Pinch of dried thyme\, crumbled\,  8 large shallots\, minced\,  1 tablespoon butter\,  1 pound trimmed boneless center pork loin\, sinew removed cut into 1inch chunks\, well chilled\,  3 eggs\,  6 tablespoon all purpose flour\,  1/4 cup tawny Port\,  3 tablespoons dried currants\, minced\,  Lettuce leaves\,  Cracked peppercorns\,  Minced fresh parsley\,  Bay leaves\,  French bread baguette slices\,  3 tablespoons olive oil\,  2 large red onions\, halved\, sliced\,  3 tablespoons dried currants\,  3 tablespoons red wine vinegar\,  1 tablespoons canned chicken broth\,  2 teaspoons chopped fresh thyme or 3/4 teaspoon dried\, crumbled\,  1/2 teaspoon sugar."
2,"In a large heavy saucepan cook diced fennel and onion in butter over moderate heat\, stirring\, until softened\, about 10 minutes. Peel and cube potatoes. Add potatoes and broth to fennel mixture and simmer\, covered\, until potatoes are very tender\, about 20 minutes. In a blender or food processor pure mixture in batches until smooth and return to saucepan. Stir in milk and salt and pepper to taste and simmer soup\, stirring occasionally\, 10 minutes\, or until heated through.\,  Garnish soup with reserved fennel leaves.","Potato and Fennel Soup Hodge ","  1 fennel bulb sometimes called anise\, stalks discarded\, bulb cutinto 1/2inch dice\, and feathery leaves reserved for garnish\,  1 onion\, diced\,  2 tablespoons unsalted butter\,  2 medium russet baking potatoes\,  2 cups chicken broth\,  1 1/2 cups milk."
3,"Heat oil in heavy large skillet over mediumhigh heat. Add onion saut until translucent and beginning to brown\, about 4 minutes. Add wine and anchovy paste. Boil until reduced to 34 cup\, about 3 minutes. Add tomatoes with juice bring to boil.\,  Sprinkle fish with salt and pepper. Add fish to skillet atop tomato mixture. Reduce heat to low\, cover\, and simmer until fish is cooked through\, about 9 minutes. Using slotted metal spatula\, transfer fish to plate and tent with foil to keep warm. Mix olives\, 2 teaspoons oregano\, and orange peel into sauce in skillet. Increase heat to high and boil until sauce is reduced and thickened\, about 6 minutes. Season to taste with salt and pepper. Place 1 fish fillet on each of 4 plates. Pour sauce over and around fish\, sprinkle with remaining 1 teaspoon oregano\, and serve with warm toasted bread.","MahiMahi in Tomato Olive Sauce ","  2 tablespoons extravirgin olive oil\,  1 cup chopped onion\,  1 cup dry white wine\,  1 teaspoon anchovy paste\,  2 14 1/2ounce cans diced tomatoes with garlic\, basil\, and oregano in juice\,  4 6ounce mahimahi fillets\,  1/2 cup large green olives\, quartered\, pitted\,  3 teaspoons chopped fresh oregano\, divided\,  1 teaspoon packed finely grated orange peel\,  Countrystyle white bread cut into 1/2inchthick slices\, toasted."
4,"Preheat oven to 350F. Lightly grease 8x8x2inch glass baking dish. Blend spinach\, noodles\, sour cream\, pesto sauce and nutmeg in large bowl. Spoon mixture into prepared dish. Sprinkle cheese over. Bake until set\, about 45 minutes. Let stand 10 minutes.","Spinach Noodle Casserole ","  1 12ounce package frozen spinach souffl\, thawed\,  1/2 pound extrawide egg noodles\, freshly cooked\,  1 cup sour cream\,  2 tablespoons purchased pesto sauce\,  1/4 teaspoon ground nutmeg\,  1 cup grated sharp cheddar cheese."
5,"Mix basil\, mayonnaise and butter in processor until basil is finely chopped and mixture is well blended. Season to taste with salt and pepper. Can be made 1 day ahead. Cover and refrigerate.\,  Cook bacon in heavy large skillet over mediumhigh heat until crisp\, about 8 minutes. Transfer to paper towels drain.\,  Spread half of mayonnaise mixture over 1 side of 6 bread slices. Top each with 2 tomato slices. Sprinkle tomatoes with salt and pepper. Top tomato slices with avocado\, then with bacon strips\, onion and lettuce. Spread remaining mayonnaise mixture over remaining 6 bread slices. Place bread slices atop lettuce. Cut sandwiches in half and serve.","The Best Blts ","  2 1/2 cups lightly packed fresh basil leaves\,  1 cup mayonnaise\,  1/4 cup butter\, room temperature\,  12 thicksliced bacon strips about 1 pound\,  12 1/2inchthick slices fresh countrystyle white bread\,  3 large tomatoes\, cut into 1/4inchthick rounds\,  2 ripe avocados\, pitted\, peeled\, sliced\,  1 red onion\, thinly sliced\,  6 lettuce leaves."
6,"Cook potatoes and carrots in large pot of boiling salted water until almost tender\, about 7 minutes. Add asparagus and peas cook until vegetables are just tender\, about 3 minutes longer. Drain. Rinse with cold water drain. Transfer to large bowl. Can be prepared 1 day ahead. Cover chill.\,  Add ham to vegetables. Add Shallot Vinaigrette to salad and toss to coat. Season to taste with salt and pepper.\,  Line bowl with spinach. Top with salad and serve.","Ham and Spring Vegetable Salad with Shallot Vinaigrette ","  1 1/2 pounds small redskinned potatoes\, each cut into 8 wedges\,  1 1/2 pounds baby carrots\, peeled\, cut lengthwise in half\,  1 1/2 pounds asparagus\, trimmed\, cut into 2inch pieces\,  6 ounces sugar snap peas\, trimmed\,  18 ounces lowfat 97 fatfree smoked ham\, cut into 1/4inchthick slices\, then into 2inchlong by 1/2inchwide pieces\,  Shallot Vinaigrette\,  1 6ounce package fresh baby spinach."
7,"Stir together sugar and chili powder. Whisk egg whites with water until dissolved. Working with 1 kumquat at a time\, dip 1 side in whites\, letting excess drip off\, then dip in sugar mixture. Transfer to a rack to dry\, coated side up.","SpicySweet Kumquats ","  6 tablespoons granulated sugar\,  1 1/2 tablespoons chili powder\,  4 teaspoons powdered egg whites see Cooks notes\,  1/4 cup warm water\,  60 kumquats preferably thinskinned."
8,"Stir together soy sauce\, sugar\, sesame oil\, white and pale green scallions\, garlic\, ginger\, and 2 tablespoons sesame seeds in a bowl until sugar is dissolved. Add steak and toss to coat\, then marinate 15 minutes.\,  Heat vegetable oil in a 12inch heavy skillet over high heat until just smoking\, then add steak in 1 layer and saut\, turning over occasionally\, until browned and just cooked through\, about 5 minutes total. Transfer to a platter and sprinkle with scallion greens and remaining 1 tablespoon sesame seeds\, then serve with accompaniments.\,  Available at Asian markets and many supermarkets.","Korean Marinated Beef ","  1/4 cup soy sauce\,  1 tablespoon sugar\,  2 teaspoons Asian sesame oil\,  1 bunch scallions white and pale green parts separated from greens\, minced 1/2 cup\,  1 tablespoon minced garlic\,  1 tablespoon minced peeled fresh ginger\,  3 tablespoons sesame seeds\, toasted\,  1 lb flank steak\, cut across the grain into very thin slices no more than 1/8 inch thick\,  1 tablespoon vegetable oil\,  Accompaniments butter lettuce or other softleaf lettuce thinly sliced garlic packaged kimchi steamed white rice."
9,"Chop enough parsley leaves to measure 1 tablespoon reserve. Chop remaining leaves and stems and simmer with broth and garlic in a small saucepan\, covered\, 5 minutes.\,  Meanwhile\, sprinkle gelatin over water in a medium bowl and let soften 1 minute. Strain broth through a finemesh sieve into bowl with gelatin and stir to dissolve. Season with salt and pepper. Set bowl in an ice bath and cool to room temperature\, stirring.\,  Toss ham with reserved parsley and divide among jars. Pour gelatin on top and chill until set\, at least 1 hour.\,  Whisk together mayonnaise\, mustard\, vinegar\, 14 teaspoon salt\, and 14 teaspoon pepper in a large bowl. Stir in celery\, cornichons\, and potatoes.\,  Pulse peas with marjoram\, oil\, 12 teaspoon pepper\, and 14 teaspoon salt in a food processor to a coarse mash.\,  Layer peas\, then potato salad\, over ham.","Ham Persillade with Mustard Potato Salad and Mashed Peas ","  6 long parsley sprigs\, divided\,  1 3/4 cups reducedsodium chicken broth\,  1 large garlic clove\, minced\,  2 teaspoon unflavored gelatin from 1 envelope\,  3 tablespoons water\,  1 3/4pound piece baked ham\, cut into 1/2inch cubes 2 cups\,  1/2 cup mayonnaise\,  2 tablespoons Dijon mustard\,  2 tablespoons whitewine vinegar\,  2 celery ribs\, finely chopped 1 cup\,  1/4 cup chopped cornichons or sour gherkins\,  1 pound boiled potatoes\, peeled and cut into 1/2inch cubes 2 1/2 cups\,  1 10ounce box frozen baby peas\, thawed\,  2 teaspoons finely chopped marjoram\,  3 tablespoons extravirgin olive oil\,  Equipment 4 16ounce wide jars or containers with lids\,  Garnish celery leaves."
10,"Heat oil in heavy large skillet over mediumhigh heat. Add shallots and minced rosemary and saut until tender\, about 3 minutes. Add yams and broth to skillet and bring to boil. Cover skillet\, reduce heat to mediumlow and simmer until yams are almost tender\, about 10 minutes. Add cream and sprinkle lightly with nutmeg. Simmer uncovered until yams are very tender and liquid thickens and coats yams\, about 4 minutes. Season with salt and pepper. Can be made 1 day ahead. Transfer to microwavesafe dish. Chill until cold\, then cover and keep chilled. Rewarm\, covered\, in microwave on mediumlow heat.","Yams Braised with Cream\, Rosemary and Nutmeg ","  4 teaspoons olive oil\,  1/2 cup finely chopped shallots\,  2 1/2 teaspoons minced fresh rosemary\,  3 pounds yams redskinned sweet potatoes\, peeled\, cut into 1/2inchthick rounds\, rounds cut in half\,  1 1/4 cups canned lowsalt chicken broth\,  1/2 cup whipping cream\,  Ground nutmeg."
